20260622-brew-and-bean.png	Brew & Bean	9.94 EUR	en
20260602-bürobedarf-kern.png	Bürobedarf Kern	16.05 EUR	de
20260622-nimbus-cloud-hosting.png	Nimbus Cloud Hosting	6.00 EUR	en
20260623-fontrack-pro.png	Fontrack Pro	18.00 EUR	en
20260611-raillink.png	RailLink	233.04 EUR	en
20260624-werkraum-kollektiv.png	Werkraum Kollektiv	30.00 EUR	en
20260603-k-kulma-kioski.png	K-Kulma Kioski	4.04 EUR	fi
20260602-kaffebaren-söder.png	Kaffebaren Söder	15.11 EUR	sv
20260614-bäckerei-sonnenschein.png	Bäckerei Sonnenschein	2.97 EUR	de
20260615-café-del-sol.png	Café del Sol	4.32 EUR	es
20260610-werkraum-kollektiv.png	Werkraum Kollektiv	30.00 EUR	en
20260607-raillink.png	RailLink	252.00 EUR	en
20260619-nimbus-cloud-hosting.png	Nimbus Cloud Hosting	21.00 EUR	en
20260605-kaffebaren-söder.png	Kaffebaren Söder	11.34 EUR	sv
