2026-07-02-brew-and-bean-beleg.png	Brew & Bean	6.20 EUR	en
2026-07-06-baeckerei-sonnenschein-beleg.png	Bäckerei Sonnenschein	5.00 EUR	de
2026-07-09-buerobedarf-kern-beleg.png	Bürobedarf Kern	22.70 EUR	de
2026-07-11-kaufhalle-nord-beleg.png	Kaufhalle Nord	23.46 EUR	de
2026-07-13-brew-and-bean-beleg.png	Brew & Bean	30.80 EUR	en
2026-07-15-raillink-beleg.png	RailLink	94.30 EUR	en
2026-07-16-supermercado-listo-beleg.png	Supermercado Listo	21.36 EUR	de
2026-07-22-werkraum-kollektiv-beleg.png	Werkraum Kollektiv	30.00 EUR	en
2026-07-24-apotheke-am-kottbusser-tor-beleg.png	Apotheke am Kottbusser Tor	7.65 EUR	de
2026-07-27-brew-and-bean-beleg.png	Brew & Bean	6.90 EUR	en
2026-07-29-supermercado-listo-beleg.png	Supermercado Listo	23.03 EUR	de
2026-08-03-brew-and-bean-beleg.png	Brew & Bean	6.70 EUR	en
2026-08-05-baeckerei-sonnenschein-beleg.png	Bäckerei Sonnenschein	4.50 EUR	de
2026-08-07-buerobedarf-kern-beleg.png	Bürobedarf Kern	16.30 EUR	de
2026-08-10-supermercado-listo-beleg.png	Supermercado Listo	25.12 EUR	de
2026-08-12-raillink-beleg.png	RailLink	155.10 EUR	en
2026-08-13-kaufhalle-nord-beleg.png	Kaufhalle Nord	17.46 EUR	de
