Date,Description,Amount (EUR),Balance (EUR),Type
2026-07-01,WERKRAUM KOLLEKTIV FLEX DESK,-240.00,16054.85,DEBIT
2026-07-02,NIMBUS CLOUD HOSTING,-45.00,16009.85,CARD
2026-07-03,FONTRACK PRO,-18.00,15991.85,CARD
2026-07-06,BUEROBEDARF KERN,-38.40,15953.45,CARD
2026-07-08,BREW AND BEAN,-12.90,15940.55,CARD
2026-07-09,RAILLINK,-87.30,15853.25,CARD
2026-07-14,SUPERMERCADO LISTO BERLIN,-28.75,15824.50,CARD
2026-07-15,NORTHLIGHT AGENCY INV-2026-07,4800.00,20624.50,CREDIT
2026-07-17,BAECKEREI SONNENSCHEIN,-3.90,20620.60,CARD
2026-07-24,WERKRAUM KOLLEKTIV MEETING ROOM,-30.00,20590.60,CARD
2026-07-27,STADTWERKE BERLIN ABSCHLAG,-86.00,20504.60,CARD
2026-07-30,BREW AND BEAN,-8.40,20496.20,CARD
